iter	Logloss
0	0.6636054793
1	0.6375620546
2	0.6145916607
3	0.5929589231
4	0.5725398204
5	0.5550063045
6	0.5333505838
7	0.5165122116
8	0.5025807538
9	0.4907179006
10	0.4788356489
11	0.4686377906
12	0.4550139839
13	0.4437181894
14	0.4354383376
15	0.4263911364
16	0.4190937588
17	0.4119782283
18	0.4084295818
19	0.4024930761
20	0.3971305978
21	0.3892013658
22	0.3756943961
23	0.3647094059
24	0.3560816423
25	0.3490177238
26	0.3425147211
27	0.3345165276
28	0.3269412221
29	0.3212381759
30	0.3159902563
31	0.3104727441
32	0.303077286
33	0.2978630415
34	0.294465101
35	0.2915902195
36	0.2898966894
37	0.2847429701
38	0.2794760252
39	0.2750754153
40	0.2724358121
41	0.2688766023
42	0.2675737481
43	0.2635405254
44	0.2592404938
45	0.2555324178
46	0.2524569448
47	0.2481436496
48	0.2453421514
49	0.2424405178
50	0.2399292401
51	0.2385843262
52	0.2364200483
53	0.2337620665
54	0.2310409141
55	0.2287789139
56	0.2256880729
57	0.2230993945
58	0.2206330904
59	0.2188602904
60	0.2171657999
61	0.2157932198
62	0.2122631428
63	0.2109514389
64	0.2082671016
65	0.2063363541
66	0.2043028707
67	0.2026871845
68	0.198879062
69	0.1974531197
70	0.1954617454
71	0.1931943481
72	0.1915738289
73	0.1901638811
74	0.1890706631
75	0.1880522223
76	0.1871876526
77	0.1867544702
78	0.1859424659
79	0.1849265981
80	0.1837273714
81	0.1821523585
82	0.1806600957
83	0.1793191548
84	0.1786122724
85	0.1775471449
86	0.1764228798
87	0.1744139766
88	0.1729345749
89	0.1713749549
90	0.1696883193
91	0.1685774389
92	0.1682276282
93	0.1674436049
94	0.1655731902
95	0.1644617566
96	0.1637469515
97	0.1623008493
98	0.1614781995
99	0.1607511674
100	0.1598674101
101	0.1593699064
102	0.1577372802
103	0.1569005619
104	0.1564410056
105	0.1560029341
106	0.1552773061
107	0.1549310457
108	0.1544487251
109	0.1537990162
110	0.1531959979
111	0.1524221564
112	0.1515444771
113	0.150849443
114	0.1503962823
115	0.1495260291
116	0.1492876996
117	0.1485047647
118	0.1479659458
119	0.1474501226
120	0.14690874
121	0.1466369528
122	0.1461026553
123	0.1458929401
124	0.1456751618
125	0.145087534
126	0.1445088012
127	0.1437288057
128	0.1433703094
129	0.1426467848
130	0.142514896
131	0.1421933842
132	0.1420053844
133	0.1417636315
134	0.1412077687
135	0.1409104467
136	0.1405540733
137	0.1403130273
138	0.1398211458
139	0.1392755251
140	0.1388432639
141	0.138355171
142	0.1378028203
143	0.1375405993
144	0.1371003997
145	0.1365769065
146	0.136066249
147	0.1359044513
148	0.1352953903
149	0.1347963626
150	0.1345072801
151	0.1339610061
152	0.1338042617
153	0.1331879969
154	0.1327116248
155	0.1325080512
156	0.132283642
157	0.1319331957
158	0.1316465472
159	0.1315581032
160	0.1311601477
161	0.1304571306
162	0.1302240729
163	0.1297723318
164	0.1296097616
165	0.1293513259
166	0.1287768711
167	0.1285446272
168	0.1276248054
169	0.1270454031
170	0.1267182308
171	0.1265096835
172	0.1262310704
173	0.1260721242
174	0.1255396572
175	0.1249369082
176	0.1245749459
177	0.124396744
178	0.1243192098
179	0.1240898695
180	0.1240123214
181	0.1239036728
182	0.1236690992
183	0.1234777193
184	0.1233747818
185	0.1230454683
186	0.1224989969
187	0.1223983552
188	0.1221291723
189	0.1219323389
190	0.1217341376
191	0.1215313465
192	0.1214145213
193	0.1210396537
194	0.1205403211
195	0.1204074598
196	0.1202996043
197	0.1199549205
198	0.1198253701
199	0.1197059635
200	0.1193829384
201	0.1191791853
202	0.1190483447
203	0.1187137999
204	0.1186023601
205	0.1182619406
206	0.1180825571
207	0.1179361011
208	0.1178056964
