iter	Passed	Remaining
0	241	240868
1	360	180066
2	496	165117
3	599	149317
4	718	143067
5	848	140560
6	960	136310
7	1075	133346
8	1195	131678
9	1297	128461
10	1440	129496
11	1543	127055
12	1723	130877
13	1809	127474
14	1934	127005
15	2150	132252
16	2249	130067
17	2334	127335
18	2413	124629
19	2492	122148
20	2590	120765
21	2711	120547
22	2807	119241
23	2894	117702
24	2965	115657
25	3024	113301
26	3100	111730
27	3154	109491
28	3211	107532
29	3279	106022
30	3343	104509
31	3394	102694
32	3460	101388
33	3521	100043
34	3587	98926
35	3654	97853
36	3707	96484
37	3755	95083
38	3800	93638
39	3853	92477
40	3900	91222
41	3944	89982
42	3998	88985
43	4049	87978
44	4103	87081
45	4149	86060
46	4187	84915
47	4232	83949
48	4264	82766
49	4292	81565
50	4324	80472
51	4363	79552
52	4399	78603
53	4426	77552
54	4452	76505
55	4478	75493
56	4502	74482
57	4526	73518
58	4551	72587
59	4578	71730
60	4605	70895
61	4631	70070
62	4661	69326
63	4687	68550
64	4716	67841
65	4745	67157
66	4772	66465
67	4799	65778
68	4825	65114
69	4851	64461
70	4876	63803
71	4899	63150
72	4928	62581
73	4962	62094
74	4995	61612
75	5022	61062
76	5048	60512
77	5073	59973
78	5098	59438
79	5123	58917
80	5147	58401
81	5176	57950
82	5203	57485
83	5230	57041
84	5260	56630
85	5289	56218
86	5318	55814
87	5346	55412
88	5373	54998
89	5398	54588
90	5424	54186
91	5450	53797
92	5477	53423
93	5505	53059
94	5537	52752
95	5570	52456
96	5638	52488
97	5673	52216
98	5709	51963
99	5752	51775
100	5782	51468
101	5812	51171
102	5850	50953
103	5888	50727
104	5915	50419
105	5951	50190
106	5986	49961
107	6019	49720
108	6057	49514
109	6089	49268
110	6130	49101
111	6158	48830
112	6186	48557
113	6215	48306
114	6241	48036
115	6267	47761
116	6297	47530
117	6322	47259
118	6359	47079
119	6388	46847
120	6419	46631
121	6448	46408
122	6479	46200
123	6514	46019
124	6544	45809
125	6573	45598
126	6608	45426
127	6642	45253
128	6668	45027
129	6700	44844
130	6731	44653
131	6762	44469
132	6790	44264
133	6820	44080
134	6850	43894
135	6880	43712
136	6911	43537
137	6941	43357
138	6971	43184
139	6999	42999
140	7031	42838
141	7062	42673
142	7092	42504
143	7144	42467
144	7189	42394
145	7218	42220
146	7250	42074
147	7279	41908
148	7309	41745
149	7343	41610
150	7373	41457
151	7405	41313
152	7433	41149
153	7464	41006
154	7497	40871
155	7537	40781
156	7569	40645
157	7595	40475
158	7622	40319
159	7651	40167
160	7676	40001
161	7704	39851
162	7732	39706
163	7760	39560
164	7790	39426
165	7834	39361
166	7873	39274
167	7911	39180
168	7948	39085
169	7982	38973
170	8018	38875
171	8047	38740
172	8075	38602
173	8111	38504
174	8140	38375
175	8172	38260
176	8202	38137
177	8233	38019
178	8270	37934
179	8304	37829
180	8340	37739
