,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
0,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,21,Policy Holder,Sport - Liability,Sport,more than 69000,0,1,12,300,1,more than 30,more than 30,none,3 years,No,No,External,none,1 year,3 to 4,1994,Liability
1,Jan,3,Wednesday,Honda,Urban,Monday,Jan,4,Male,Single,34,Policy Holder,Sport - Collision,Sport,more than 69000,0,2,15,400,4,more than 30,more than 30,none,6 years,Yes,No,External,none,no change,1 vehicle,1994,Collision
2,Oct,5,Friday,Honda,Urban,Thursday,Nov,2,Male,Married,47,Policy Holder,Sport - Collision,Sport,more than 69000,0,3,7,400,3,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
3,Jun,2,Saturday,Toyota,Rural,Friday,Jul,1,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,4,400,2,more than 30,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability
4,Jan,5,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sport - Collision,Sport,more than 69000,0,5,3,400,1,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1994,Collision
5,Oct,4,Friday,Honda,Urban,Wednesday,Nov,1,Male,Single,20,Third Party,Sport - Collision,Sport,more than 69000,0,6,12,400,3,more than 30,more than 30,none,5 years,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
6,Feb,1,Saturday,Honda,Urban,Monday,Feb,3,Male,Married,36,Third Party,Sport - Collision,Sport,more than 69000,0,7,14,400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
8,Dec,4,Saturday,Honda,Urban,Wednesday,Dec,5,Male,Single,30,Policy Holder,Sport - Collision,Sport,more than 69000,0,9,7,400,4,more than 30,more than 30,none,6 years,No,Yes,External,3 to 5,no change,1 vehicle,1994,Collision
9,Apr,3,Tuesday,Ford,Urban,Wednesday,Apr,3,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,10,7,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
10,Mar,2,Sunday,Mazda,Urban,Wednesday,Mar,3,Male,Single,71,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11,7,400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,All Perils
11,Mar,5,Monday,Honda,Urban,Monday,Mar,5,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,13,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,1994,Liability
12,Jan,3,Friday,Ford,Urban,Friday,Jan,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,13,11,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,Liability
14,Jan,5,Monday,Ford,Urban,Thursday,Feb,1,Male,Married,61,Policy Holder,Sedan - Liability,Sport,more than 69000,0,15,3,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,Liability
15,Aug,4,Tuesday,Ford,Urban,Monday,Aug,5,Male,Single,38,Policy Holder,Sedan - Liability,Sport,more than 69000,0,16,16,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
16,Apr,4,Thursday,Ford,Urban,Wednesday,May,1,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,17,15,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,All Perils
17,Jul,5,Sunday,Chevrolet,Urban,Wednesday,Aug,1,Female,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,18,6,400,1,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
18,May,4,Thursday,Pontiac,Urban,Monday,May,5,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,19,6,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,Liability
19,Apr,4,Monday,Honda,Urban,Tuesday,May,1,Male,Married,30,Third Party,Sedan - Liability,Sport,more than 69000,0,20,2,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,Liability
20,Apr,2,Friday,Mazda,Urban,Tuesday,May,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,21,3,400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Liability
21,Jan,2,Saturday,Chevrolet,Urban,Monday,Jan,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,22,13,400,2,more than 30,more than 30,1,more than 7,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
22,Aug,3,Sunday,Mazda,Urban,Thursday,Aug,5,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,23,8,400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
23,Jun,3,Saturday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,24,5,400,3,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
